Predicted Residential Area,Total Requests,Number of Users
ADMIRALTY DR,72,14
ADMIRALTY LINK,22,2
AH HOOD RD,5,1
ALJUNIED CRES,18,2
ALJUNIED RD,30,7
ANCHORVALE CRES,10,3
ANCHORVALE DR,6,2
ANCHORVALE LANE,10,2
ANCHORVALE LINK,24,4
ANCHORVALE RD,24,3
ANCHORVALE ST,6,2
ANG MO KIO AVE 1,70,3
ANG MO KIO AVE 10,84,14
ANG MO KIO AVE 2,4,1
ANG MO KIO AVE 3,3,1
ANG MO KIO AVE 4,159,23
ANG MO KIO AVE 5,53,12
ANG MO KIO AVE 6,3,1
ANG MO KIO AVE 8,11,2
ANG MO KIO AVE 9,19,1
ANG MO KIO ST 11,4,1
ANG MO KIO ST 31,10,3
ANG MO KIO ST 32,4,1
ANG MO KIO ST 52,9,2
BAIN ST,42,11
BANGKIT RD,117,21
BEACH RD,3,1
BEDOK CTRL,765,80
BEDOK NTH AVE 1,13,3
BEDOK NTH AVE 4,33,4
BEDOK NTH RD,83,13
BEDOK NTH ST 1,28,6
BEDOK NTH ST 2,35,6
BEDOK NTH ST 3,11,3
BEDOK NTH ST 4,40,5
BEDOK RESERVOIR RD,75,14
BEDOK RESERVOIR VIEW,46,9
BEDOK STH AVE 1,10,2
BEDOK STH AVE 2,4,1
BEDOK STH AVE 3,3,1
BEDOK STH RD,108,18
BENDEMEER RD,12,2
BEO CRES,10,3
BISHAN ST 11,7,2
BISHAN ST 12,620,117
BISHAN ST 13,245,42
BISHAN ST 22,378,57
BISHAN ST 23,142,25
BISHAN ST 24,242,41
BOON KENG RD,52,10
BOON LAY AVE,47,9
BOON LAY DR,246,33
BOON LAY PL,251,43
BOON TIONG RD,8,2
BRIGHT HILL DR,69,7
BT BATOK CTRL,424,66
BT BATOK EAST AVE 3,4,1
BT BATOK EAST AVE 5,4,1
BT BATOK ST 11,7,2
BT BATOK ST 21,6,2
BT BATOK ST 24,4,1
BT BATOK ST 25,37,8
BT BATOK ST 31,4,1
BT BATOK ST 32,6,1
BT BATOK ST 33,3,1
BT BATOK ST 34,228,43
BT BATOK ST 51,68,14
BT BATOK ST 52,31,7
BT BATOK WEST AVE 4,7,1
BT BATOK WEST AVE 5,3,1
BT BATOK WEST AVE 6,29,5
BT BATOK WEST AVE 7,17,1
BT BATOK WEST AVE 8,17,2
BT MERAH CTRL,45,10
BT MERAH LANE 1,30,7
BT MERAH VIEW,149,25
BT PANJANG RING RD,389,74
BT PURMEI RD,23,6
BUANGKOK CRES,157,27
BUANGKOK GREEN,10,3
BUANGKOK LINK,21,4
C'WEALTH AVE,15,4
C'WEALTH AVE WEST,9,3
C'WEALTH CL,45,5
C'WEALTH CRES,19,5
C'WEALTH DR,4,1
CAMBRIDGE RD,3,1
CANBERRA LINK,47,11
CANBERRA RD,34,6
CANTONMENT CL,7,2
CASHEW RD,6,2
CASSIA CRES,18,3
CHAI CHEE AVE,76,14
CHAI CHEE DR,3,1
CHAI CHEE RD,19,4
CHAI CHEE ST,75,18
CHANDER RD,18,4
CHANGI VILLAGE RD,100,17
CHIN SWEE RD,9,3
CHOA CHU KANG AVE 3,168,21
CHOA CHU KANG AVE 4,50,6
CHOA CHU KANG CRES,13,3
CHOA CHU KANG CTRL,4,1
CHOA CHU KANG DR,266,44
CHOA CHU KANG LOOP,87,11
CHOA CHU KANG NTH 5,7,2
CHOA CHU KANG NTH 6,14,3
CHOA CHU KANG ST 51,6,2
CHOA CHU KANG ST 52,4,1
CHOA CHU KANG ST 53,3,1
CHOA CHU KANG ST 54,23,5
CHOA CHU KANG ST 62,47,11
CHOA CHU KANG ST 64,34,5
CIRCUIT RD,4,1
CLARENCE LANE,243,46
CLEMENTI AVE 1,4,1
CLEMENTI AVE 2,24,3
CLEMENTI AVE 3,8,1
CLEMENTI AVE 4,229,33
CLEMENTI AVE 5,8,1
CLEMENTI ST 11,106,12
CLEMENTI ST 12,16,5
CLEMENTI ST 13,10,3
CLEMENTI WEST ST 1,3,1
CLEMENTI WEST ST 2,30,7
COMPASSVALE BOW,16,4
COMPASSVALE CRES,7,2
COMPASSVALE LANE,22,4
COMPASSVALE RD,3,1
COMPASSVALE ST,26,3
COMPASSVALE WALK,13,3
DAKOTA CRES,5,1
DELTA AVE,31,8
DEPOT RD,6,2
DORSET RD,36,4
DOVER CL EAST,19,3
DOVER CRES,7,2
EDGEDALE PLAINS,63,10
EDGEFIELD PLAINS,17,4
ELIAS RD,45,6
EUNOS CRES,113,18
EUNOS RD 5,26,7
EVERTON PK,12,4
FAJAR RD,36,5
FARRER PK RD,16,4
FARRER RD,13,4
FERNVALE LANE,70,12
FERNVALE LINK,15,3
FERNVALE RD,33,8
FRENCH RD,40,8
GANGSA RD,6,2
GEYLANG BAHRU,90,13
GEYLANG EAST AVE 1,3,1
GEYLANG EAST CTRL,84,16
GEYLANG SERAI,46,6
GHIM MOH LINK,19,4
GHIM MOH RD,40,4
GLOUCESTER RD,25,6
HAIG RD,45,9
HAVELOCK RD,5,1
HENDERSON CRES,21,4
HO CHING RD,14,3
HOLLAND AVE,3,1
HOLLAND CL,36,5
HOLLAND DR,43,7
HOUGANG AVE 1,44,6
HOUGANG AVE 10,42,6
HOUGANG AVE 3,147,28
HOUGANG AVE 4,3,1
