Predicted Residential Area,Total Requests,Number of Users
ADMIRALTY DR,10,2
ANCHORVALE DR,3,1
ANG MO KIO AVE 10,3,1
BANGKIT RD,5,1
BEDOK CTRL,6,1
BEDOK NTH RD,5,1
BEDOK RESERVOIR RD,5,1
BEDOK RESERVOIR VIEW,5,1
BEDOK STH RD,8,2
BISHAN ST 11,4,1
BISHAN ST 12,28,6
BISHAN ST 13,10,2
BISHAN ST 22,11,3
BISHAN ST 24,12,2
BOON LAY DR,4,1
BOON LAY PL,10,2
BRIGHT HILL DR,6,2
BT BATOK CTRL,20,4
BT BATOK ST 32,6,1
BT BATOK ST 34,13,3
BT MERAH LANE 1,3,1
BT MERAH VIEW,6,2
BT PANJANG RING RD,20,5
BUANGKOK CRES,6,1
C'WEALTH CRES,3,1
CANBERRA LINK,5,1
CHAI CHEE AVE,10,2
CHAI CHEE ST,3,1
CHANDER RD,6,1
CHOA CHU KANG DR,8,2
CHOA CHU KANG LOOP,8,2
CLARENCE LANE,11,2
CLEMENTI AVE 4,12,3
CLEMENTI ST 11,3,1
CLEMENTI WEST ST 2,5,1
COMPASSVALE BOW,6,1
DELTA AVE,3,1
ELIAS RD,4,1
EUNOS RD 5,5,1
FERNVALE LANE,5,1
GEYLANG BAHRU,10,2
GEYLANG EAST CTRL,5,1
GLOUCESTER RD,5,1
HOUGANG AVE 3,9,2
HOUGANG AVE 8,3,1
HOUGANG CTRL,28,6
HOUGANG ST 11,6,1
HOUGANG ST 52,15,3
HOUGANG ST 92,6,1
JLN BAHAGIA,5,1
JLN BT MERAH,6,1
JLN TECK WHYE,5,1
JLN TENTERAM,3,1
JOO CHIAT RD,8,2
JURONG EAST ST 24,30,7
JURONG WEST AVE 1,5,1
JURONG WEST AVE 3,5,1
JURONG WEST ST 42,11,2
JURONG WEST ST 64,5,1
JURONG WEST ST 71,3,1
JURONG WEST ST 91,5,1
JURONG WEST ST 93,27,6
KALLANG BAHRU,5,1
KENT RD,5,1
KIM TIAN RD,3,1
KLANG LANE,9,2
LENGKOK BAHRU,5,1
LOMPANG RD,5,1
LOR 1 TOA PAYOH,6,1
LOR 5 TOA PAYOH,10,2
MARINE TER,22,5
MARSILING CRES,6,1
MARSILING DR,3,1
MARSILING LANE,7,2
MARSILING RISE,3,1
MCNAIR RD,5,1
MONTREAL DR,6,2
NEW UPP CHANGI RD,4,1
OLD AIRPORT RD,10,2
PASIR RIS DR 3,22,5
PASIR RIS ST 53,6,1
PASIR RIS ST 71,11,2
PAYA LEBAR WAY,3,1
PINE CL,4,1
POTONG PASIR AVE 1,6,1
PUNGGOL DR,4,1
PUNGGOL FIELD WALK,5,1
PUNGGOL RD,36,7
PUNGGOL WAY,5,1
SAGO LANE,6,1
SEMBAWANG CL,5,1
SEMBAWANG CRES,7,2
SEMBAWANG DR,12,3
SEMBAWANG VISTA,3,1
SENGKANG CTRL,19,4
SENGKANG EAST WAY,3,1
SERANGOON CTRL,12,2
SERANGOON NTH AVE 1,12,2
SIMEI ST 1,4,1
SIMS PL,9,2
SIN MING AVE,4,1
SMITH ST,5,1
SUMANG LINK,6,1
TAMAN HO SWEE,5,1
TAMPINES AVE 4,3,1
TAMPINES AVE 9,3,1
TAMPINES ST 22,36,9
TAMPINES ST 23,3,1
TAMPINES ST 33,7,2
TAMPINES ST 44,13,3
TAMPINES ST 71,5,1
TAMPINES ST 83,6,1
TECK WHYE CRES,3,1
TELOK BLANGAH DR,5,1
TELOK BLANGAH WAY,3,1
TIONG BAHRU RD,24,5
TOA PAYOH NTH,11,2
TOWNER RD,8,2
UBI AVE 1,15,3
UPP SERANGOON CRES,5,1
WEST COAST RD,9,2
WOODLANDS AVE 6,9,2
WOODLANDS CRES,12,3
WOODLANDS DR 40,5,1
WOODLANDS DR 70,9,2
WOODLANDS DR 73,5,1
WOODLANDS RING RD,11,2
YISHUN AVE 3,5,1
YISHUN CTRL,25,5
YISHUN RING RD,6,2
YISHUN ST 11,10,2
YISHUN ST 41,3,1
YISHUN ST 61,6,2
YISHUN ST 71,9,2
YISHUN ST 72,22,4
YUNG KUANG RD,5,1
