id,name,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,statuses_count,,,
9.61E+17,Auto Futures,auto_futures,"London, England","An award-winning content hub dedicated to the future of mobility.

Listen to our #AutoFuturesPodcast: 
https://t.co/yUX6nbybHN",https://t.co/BMId7NpfzQ,844,833,22,Wed Feb 07 10:15:33 +0000 2018,980,,72,104
1.15E+18,tslaluv,tslaluv,United States,man I just LOVE my tesla. get yours https://t.co/pPPfoM17Sl,,144,295,0,Sun Jul 07 08:04:31 +0000 2019,552,,,
9.31E+17,sgfleetUK,sgfleetuk,"Solihull, England",#FleetManagement #VehicleLeasing and #EmployeeBenefit vehicle solutions specialist. Currently supporting sports teams with #SoccerLease,https://t.co/tmKw5AKXNM,760,718,8,Wed Nov 15 15:02:15 +0000 2017,927,,,
1.02E+18,Samuel Kwakye,mrkwakye_,"Accra, Ghana",Auto enthusiast ...,,470,481,0,Wed Aug 01 13:34:20 +0000 2018,5384,,,
3001781373,DUNKIE TWELVE,dunkiefulldunk1,,umushabitsi,,200,96,0,Tue Jan 27 18:36:09 +0000 2015,87,,,
491686834,ResourceStockDigest,rsdigest,"Austin, TX",RSD: Everything Junior Resource Stocks | Exclusive Interviews | Bizarro World Podcast | Analyst Commentary | Whatever Comes to Mind | #GoCubs,https://t.co/y6Vde5c6EB,1083,604,25,Mon Feb 13 22:25:46 +0000 2012,9409,,,
380914586,ABRAR AHMAD KHAN,i_am_ibbu,LUCKNOW,KING KHAN,,11589,9595,3,Tue Sep 27 13:01:16 +0000 2011,390644,,,
8.23E+17,Homer,curioushomer,Springfield ,so many questions! curious@umsocials.com,https://t.co/Hr887NcYnP,125590,886,125,Mon Jan 23 10:00:17 +0000 2017,88,,,
1.01E+18,Nav,nav2115,Earth every second Tuesday.,"Retweeting coherent comments and reported news about Dictator in the making, Trump. Follow me for retweets & other useful tweets/articles.",,1355,1451,0,Sun Jun 24 21:03:58 +0000 2018,57146,,,
222462007,Brian Mukazi,thatbeekaygoon,"Harare, Zimbabwe.",Chasing the dream. #FCB,,2408,1957,7,Fri Dec 03 13:57:54 +0000 2010,75164,,,
9.30E+17,BEAUTIFULJEA,clarasa66414026,,Family isn't always blood.,,388,91,0,Mon Nov 13 22:39:25 +0000 2017,73431,,,
2991388052,MyWorkDrive,myworkdrive,"San Francisco, CA","Patented software for #DLP while enabling Enterprises #secure #remote #access to files without #VPN or migrating to the #Cloud. 
#GDPR #HIPAA #FIPS #FINRA",https://t.co/sTMyHl97p8,84,213,10,Tue Jan 20 16:10:01 +0000 2015,332,,,
278950359,Bridle Vehicle Leasing,bridleleasing,"North Leigh, England","Bridle Vehicle Leasing offer Car, Van Leasing and Contract Hire at highly competitive prices helping our customers to save money.",https://t.co/oyil0oVSzu,1236,1077,11,Fri Apr 08 08:49:12 +0000 2011,2039,,,
7.67E+17,Ian Marcos,marco1_ian,,,,14,325,0,Fri Aug 19 15:35:30 +0000 2016,1154,,,
1.16E+18,Jean-michel Clart�,clartejean,,,,1,18,0,Fri Aug 23 09:00:19 +0000 2019,280,,,
470387050,CDF,sultankeith,None of your Business,loyal to only my goals,,76,57,1,Sat Jan 21 18:13:36 +0000 2012,1657,,,
8.02E+17,Zlupper.,zlupperii,United States of England,BOLLOCKS!,,58,289,1,Fri Nov 25 17:33:24 +0000 2016,1896,,,
3169873049,UWITONZE Emma Rw,uwitonzeemmarws,Kigali  Rwanda ,#Tourism   #Peace Tours and Travel Agency #Travel,https://t.co/rcnmAPZxDD,230,691,0,Wed Apr 15 12:11:43 +0000 2015,5259,,,
2956930756,nationwide-battery,nwbattery,"Fort Lauderdale, FL","We proudly represent world class battery manufacturers. 
Tell US about all your battery requirements!
#Battery #BatteryExpert #WorldwideBatteryExport",https://t.co/EZUCFVicA7,204,391,1,Fri Jan 02 16:50:49 +0000 2015,1616,,,
2504588574,Euro Motors Jaguar Bahrain,emjaguarbahrain,"Sitra, Kingdom of Bahrain",Official Twitter account for Euro Motors Jaguar Bahrain. Tel: +973 17460460.,https://t.co/4VRRU2yLEF,505,260,12,Sun May 18 14:18:51 +0000 2014,2005,,,
17676614,lust,7ensions,Turn on our Notifications,18+,,107928,56,167,Thu Nov 27 12:19:44 +0000 2008,104,,,
198289218,Robin,robingwinnett,"Wareham, England",@swast Learning & Development manager (Driving / ECA) @futurequals EQA and Chair of Driver Training Advisory Group (DTAG) for the NHS Ambulance services.,,733,335,4,Sun Oct 03 22:00:49 +0000 2010,916,,,
1.17E+18,Heather Dawn Person,heatherdawnper1,,Happiness is a choice.,,904,502,5,Sun Aug 25 13:17:54 +0000 2019,61399,,,
8.26E+17,Steven Rodriguez,sprcdrsmr012917,"California, USA","Husband, Father, Cancer Survivor, Veteran ( combat medic), Nurse. God fearing American!!!",,464,70,1,Sun Jan 29 17:35:03 +0000 2017,34769,,,
20517132,LCV,lcvoters,"Washington, D.C.",Our Earth Is Worth Fighting For,https://t.co/9mRotpvUpi,26884,2533,1096,Tue Feb 10 14:46:01 +0000 2009,32016,,,
1.18E+18,Teixeira C�sar,teixeiracsar3,,VALEO,,1,0,0,Wed Oct 16 14:05:22 +0000 2019,220,,,
801281178,Funny Vines,funnyviness,,We post the best classic vines and other funny videos,,511898,63,1122,Mon Sep 03 21:50:10 +0000 2012,4017,,,
8.02E+17,Colline Ade.,ade_colline,,"20, no I mean 9 years old. 

Degree in Software Engineering",,22,99,0,Thu Nov 24 13:05:11 +0000 2016,656,,,
343354911,Guardian Fire&Safety,guardianfireirl,"New Ross, Co. Wexford, Ireland","Award winning, Eco certified, #fireprotection Company. Passionate about  delivering #sustainable solutions. ""Where doing things right"" is more than a tagline.",https://t.co/b0MQTCBiiE,439,840,6,Wed Jul 27 13:02:04 +0000 2011,1604,,,
2473070484,High Storytime,thetimeigothigh,,Best Weed Account on Twitter. Follow us to be Entertained with the Best High Thoughts and Stories,,279038,133,543,Thu May 01 21:54:50 +0000 2014,2905,,,
336853756,Jhennsy Guzman.,jhennsygn,"Santiago, Dominican Republic","Profesional en Generaci�n de energ�a el�ctrica, apasionado por la eficiencia, la confiabilidad, la seguridad en el trabajo y el medio ambiente.",,125,747,3,Sun Jul 17 01:23:45 +0000 2011,2762,,,
379861724,Yorkshire Network,yorkshire_en,"Yorkshire, UK","YEN helps to build business relationships through free monthly networking events, training, funding and much more in #Yorkshire. Visit our site for more details",http://t.co/1wpDZY15gI,28398,19862,234,Sun Sep 25 17:48:44 +0000 2011,8137,,,
