partition,node,degree centrality,closeness centrality,betweenness centrality,eigenvector centrality,harmonic centrality,total centrality score
0,007__goldeneye,0.00042158516020236085,0.015508507111889357,0.0,1.9531957114861107e-07,0.03044444444444446,0.04637473203610733
0,getfandom,0.04258010118043845,0.023371363658813652,0.0016988080800003553,1.9633496170425793e-06,0.054759856630824236,0.12241209289969372
1,00_hkm,0.00042158516020236085,0.023571953482244747,0.0,1.411058798091936e-06,0.04696373877019066,0.07095868847143587
1,volkswagen,0.016863406408094434,0.02844767313788777,0.008417661308389387,1.5338885753752406e-05,0.0638924886344241,0.11763656837454944
0,1031cookielover,0.00042158516020236085,0.015508507111889357,0.0,1.9531957114861107e-07,0.03044444444444446,0.04637473203610733
2,1122blessed,0.00042158516020236085,0.0005757466714645555,0.0,1.945858444153165e-72,0.001075268817204301,0.0020726006488712176
2,2011dodgechall1,0.0016863406408094434,0.0010075566750629723,7.615696712494121e-07,3.89171688830633e-72,0.0017204301075268817,0.004415088993070547
3,14handsyum,0.00042158516020236085,0.0012001778041191287,0.0,4.035649412154401e-58,0.002150537634408602,0.0037723005987300917
3,alphanewsmn,0.0037942664418212477,0.0022670025188916876,4.569418027496472e-06,1.21069482364632e-57,0.003870967741935484,0.009936806120675917
4,14rob23,0.00042158516020236085,0.019813924881526702,0.0,8.86261379166548e-08,0.03676455802262245,0.057000156690489426
4,theelonews,0.002529510961214165,0.023148941940793578,0.0003439756348476511,9.6340861638016e-07,0.044821998789740754,0.07084539073521254
5,19_abhimanyu,0.00042158516020236085,0.0005757466714645555,0.0,1.945858444153165e-72,0.001075268817204301,0.0020726006488712176
5,aparanjape,0.0016863406408094434,0.0010075566750629723,7.615696712494121e-07,3.89171688830633e-72,0.0017204301075268817,0.004415088993070547
6,1_stykha,0.00042158516020236085,0.010264874759453665,0.0,1.9490957840488577e-12,0.01763440860215054,0.02832086852375566
6,siemens_energy,0.03414839797639123,0.020403022670025188,0.00041124762247468253,1.7541862056640818e-11,0.03483870967741935,0.0898013779638523
7,1cleanteen,0.00042158516020236085,0.0018285287806698385,0.0,1.1992547272495122e-49,0.0032258064516129032,0.005475920392485102
7,thejidegrand,0.005902192242833052,0.003526448362720403,1.1550473347282751e-05,4.487200308836706e-49,0.006021505376344086,0.015461696455244823
6,1hdef3yjfhhvpay,0.00042158516020236085,0.010264874759453665,0.0,1.9490957840488577e-12,0.01763440860215054,0.02832086852375566
8,1pancholatino,0.00042158516020236085,0.019534564060742776,0.0,8.440317955588076e-06,0.0424866531318141,0.06245124267071483
8,newtimesrwanda,0.01391231028667791,0.022768527191918696,0.002938643504794398,9.175030340409358e-05,0.057826064019612496,0.0975372953064076
